0 -0.000000 0.000000 -0.000000
1 -0.000006 -0.000002 0.200467
2 -0.000013 0.000001 0.400930
3 -0.000016 0.000003 0.601395
4 -0.000014 0.000010 0.801865
5 -0.000005 0.000016 1.002656
6 0.000006 0.000023 1.202793
7 0.000015 0.000026 1.402928
8 0.000019 0.000025 1.603064
9 0.000026 0.000022 1.803195
10 0.000030 0.000021 2.003325
11 0.000032 0.000020 2.203986
12 0.000031 0.000022 2.404044
13 0.000028 0.000022 2.604102
14 0.000025 0.000016 2.804158
15 0.000020 0.000014 3.004214
16 0.000013 0.000013 3.204272
17 -0.052595 0.000016 3.400327
18 -0.139697 0.000027 3.553637
19 -0.255552 -0.000040 3.686560
20 -0.395448 -0.000051 3.793845
21 -0.553892 -0.000029 3.871189
22 -0.724485 -0.000030 3.915500
23 -0.900510 -0.000015 3.924971
24 -1.101315 0.000018 3.937059
25 -1.300300 0.000016 3.960244
26 -1.499269 0.000010 3.983441
27 -1.698232 0.000002 4.006639
28 -1.897191 -0.000003 4.029851
29 -2.096157 -0.000011 4.053061
30 -2.295105 -0.000025 4.076286
31 -2.493878 -0.000017 4.099483
32 -2.693275 -0.000008 4.122765
33 -2.892668 -0.000007 4.146052
34 -3.092066 -0.000004 4.169341
35 -3.291456 -0.000009 4.192621
36 -3.490853 -0.000021 4.215909
37 -3.690241 -0.000027 4.239207
38 -3.889613 -0.000085 4.262491
39 -4.088993 -0.000118 4.285780
40 -4.288340 -0.000138 4.309068
41 -4.487088 -0.000144 4.332175
42 -4.685906 -0.000147 4.355370
43 -4.885576 -0.000152 4.378649
44 -5.085245 -0.000151 4.401937
45 -5.284908 -0.000140 4.425232
46 -5.484579 -0.000122 4.448545
47 -5.684252 -0.000103 4.471872
48 -5.883965 -0.000068 4.495199
49 -6.083678 0.000011 4.518547
50 -6.283397 0.000092 4.541933
51 -6.479818 0.000092 4.579903
52 -6.492007 0.000075 4.625145
53 -6.494944 0.000111 4.671900
54 -6.488210 0.000093 4.718404
55 -6.472642 0.000190 4.762689
56 -6.448476 0.000211 4.802965
57 -6.486612 0.000015 5.001230
58 -6.542524 0.000007 5.193579
59 -6.598752 -0.000064 5.385646
60 -6.654998 -0.000059 5.577863
61 -6.711309 -0.000118 5.769952
62 -6.767351 -0.000037 5.962284
63 -6.823068 -0.000074 6.154627
64 -6.879095 -0.000102 6.346599
65 -6.935104 -0.000144 6.538546
66 -6.991124 -0.000163 6.730494
67 -7.047209 -0.000182 6.922441
68 -7.103453 -0.000262 7.114302
69 -7.159882 -0.000340 7.305665
70 -7.215732 -0.000256 7.497878
71 -7.216629 -0.000332 7.700668
72 -7.174058 -0.000198 7.861609
73 -7.100479 -0.000059 8.011174
74 -6.997872 -0.000100 8.142358
75 -6.872200 -0.000056 8.250859
76 -6.777021 -0.000074 8.290577
77 -6.756106 0.000074 8.256785
78 -6.742719 0.000147 8.219426
79 -6.736695 0.000107 8.180105
80 -6.738588 0.000136 8.140324
81 -6.748379 0.000194 8.101661
82 -6.765688 0.000213 8.065639
83 -6.789883 0.000581 8.034077
84 -6.820265 0.001159 8.007911
85 -6.729664 0.001463 7.829075
86 -6.626011 0.001682 7.657808
87 -6.521967 0.001563 7.486443
88 -6.418005 0.001464 7.314994
89 -6.314384 0.001412 7.143640
90 -6.210437 0.001330 6.972356
91 -6.106634 0.001336 6.800923
92 -6.002985 0.001448 6.629287
93 -5.898726 0.001171 6.458277
94 -5.794505 0.000975 6.287272
95 -5.690289 0.000786 6.116647
96 -5.585861 0.000672 5.945427
97 -5.481541 0.000543 5.774129
98 -5.376998 0.000520 5.602784
99 -5.272696 0.000595 5.431425
100 -5.168335 0.000597 5.260064
101 -5.064038 0.000605 5.088637
102 -4.959846 0.000627 4.917158
103 -4.855602 0.000610 4.745755
104 -4.751282 0.000780 4.574271
105 -4.647101 0.001038 4.402509
106 -4.542802 0.000883 4.231149
107 -4.438605 0.000746 4.059704
108 -4.334625 0.000594 3.888023
109 -4.230963 0.000438 3.716631
110 -4.128289 0.000516 3.544625
111 -4.032881 0.000572 3.368472
112 -4.006632 0.000533 3.204804
113 -4.013276 0.000483 3.039460
114 -4.053115 0.000393 2.878308
115 -4.094011 0.000368 2.681693
116 -4.125041 0.000277 2.483802
117 -4.155980 0.000207 2.286051
118 -4.186958 0.000174 2.087990
119 -4.217987 0.000110 1.890020
120 -4.249077 0.000040 1.692022
