863 1.850238 -1.905889 -4.036637
322 -4.864755 -1.491125 -3.049509
769 2.537643 -1.556586 -3.983397
631 -1.985188 -0.175262 -3.194337
916 -0.125269 -0.942698 -3.175815
750 0.077643 -0.074840 -3.062932
539 -3.374147 -1.665787 -2.509735
974 0.831985 -0.134593 -2.875120
858 -3.242336 -1.932328 -2.245026
503 1.066609 -0.869755 -2.971229
978 0.254311 -0.552353 -1.573368
607 0.434226 -0.050979 -1.736509
514 -0.107654 -1.120769 -1.704557
233 -2.757675 -0.152483 -2.041321
166 -0.597946 -0.812810 -2.034302
691 0.542560 -0.926684 -1.133952
352 0.206818 -0.613260 -1.090485
245 0.191174 -0.969588 -0.815396
216 0.717919 -0.967090 -0.894922
186 -2.557769 -1.641391 -1.762953
111 -1.375479 -0.185198 -1.345835
92 0.838702 -0.790678 -1.236189
876 -0.096095 -1.920636 -0.512474
776 1.412334 -1.790836 0.040466
568 1.778968 -0.555506 -0.085958
200 1.066054 -1.342309 0.297572
883 -1.025916 -0.425022 -0.567164
880 -0.437754 -1.022368 -0.359805
797 1.625064 -0.973323 1.112969
794 1.145432 -0.611947 0.595298
725 -3.132954 -0.685088 -2.397312
184 2.075490 -0.582267 1.184529
109 0.037717 -0.244031 0.061757
193 -7.190200 -0.836620 -3.975421
175 -1.392353 -1.466743 -0.643795
752 0.204579 -1.530711 0.619299
663 -7.775866 -0.364727 -3.934825
596 -2.847487 -0.690108 -1.002229
499 -3.432598 -0.792165 -1.320041
491 -1.227064 -0.829337 0.061899
405 -3.698072 -1.510062 -1.436770
321 -4.797750 -1.327873 -2.116698
303 -1.578965 -0.554236 -0.187286
346 -3.734228 -1.485540 -1.356901
843 -0.154973 -1.678006 1.242698
181 -5.115926 -1.014773 -1.799999
832 -4.869529 -1.383260 -1.571561
31 -1.902233 -0.552433 0.397546
929 -1.467438 -1.160691 0.763411
68 -2.494996 -0.009777 0.122778
622 -3.452345 -1.864398 -0.109944
599 -3.521359 -0.666580 -0.189529
495 -2.507131 -1.686123 0.329548
506 -2.466679 -0.732464 0.606612
240 -2.340300 -1.219981 1.070632
806 -3.093221 -0.040219 0.964104
502 -9.779028 -0.649611 5.854240
376 -9.822304 -1.544431 6.114789
361 -9.578890 -1.271056 7.631677
901 -9.834789 -0.882122 4.076418
243 -9.226372 -1.802813 9.315539
779 -9.669503 -0.272261 4.292733
311 -9.896275 -1.725601 1.416752
982 -8.870179 -0.590707 8.794313
515 -8.872051 -1.207902 8.865962
349 -9.016925 -1.880332 7.976791
592 -8.856305 -1.369601 6.583889
392 -8.893083 -0.177159 6.320963
145 -9.772243 -0.057491 -1.078935
461 -9.918717 -0.516298 -3.406868
805 -1.883384 -1.674928 -0.633870
264 -9.273705 -1.404254 2.837941
241 -8.436071 -1.344544 9.178633
22 -8.377760 -1.059108 8.972295
964 -8.569332 -1.181720 6.853795
435 -9.260653 -0.422210 0.586874
205 -9.221638 -1.079643 0.208452
992 -8.054201 -1.506636 8.657475
853 -8.759955 -1.612576 2.788004
759 -8.093100 -1.833011 8.072351
723 -8.452925 -0.071097 5.878443
439 -8.823917 -0.932048 2.895574
907 -8.824107 -0.472244 2.976476
366 -8.216031 -1.700307 8.336203
214 -8.689057 -1.258858 3.164056
542 -9.798211 -1.136420 0.506692
1 -9.048388 -1.665169 0.066974
822 -8.666101 -0.378338 1.448519
251 -1.359272 -0.197013 -1.136577
792 -7.710964 -1.190961 9.605817
975 -7.595485 -0.542122 8.824108
569 -8.366401 -0.984528 3.104698
425 1.278986 -0.000777 0.661110
966 -8.598651 -0.636817 -1.278214
440 -8.147124 -1.930774 3.488003
932 -8.382536 -1.222143 7.803798
391 -7.350574 -0.271329 9.157818
267 -8.928973 -1.448217 -3.416236
191 -8.157302 -0.547581 3.879133
869 -8.457152 -0.139906 -1.520521
517 -7.719380 -1.462750 4.451543
285 -5.523301 -1.881511 -2.539186
826 -8.201973 -1.067767 -0.303546
133 -8.193157 -1.544046 9.712651
674 -8.142187 -0.177438 -1.115050
180 -7.712081 -1.623863 3.006136
160 -8.476519 -1.691052 -2.986933
714 -8.965689 -1.994418 6.903681
173 -7.919087 -1.683109 -0.133047
984 -7.493793 -1.686933 1.119332
704 -7.185472 -1.133578 4.221038
477 -7.789582 -1.948346 -1.010749
436 -6.580003 -0.181734 9.416317
406 -4.900338 -0.862528 -2.068004
947 -6.998923 -1.435296 1.820449
967 -2.278420 -1.109293 -0.410118
426 -6.267156 -1.295128 8.530950
239 -8.088876 -1.025210 2.616248
780 -7.000168 -0.012850 0.237667
297 -6.140920 -1.407876 8.818790
275 -7.018364 -1.769134 0.336990
324 -7.804129 -1.147210 2.748753
865 -5.963116 -0.889653 8.127633
813 -5.917078 -0.140384 8.473178
534 -7.014223 -0.841210 -3.509349
96 -5.764984 -0.886010 8.592649
909 -6.954173 -0.920407 -3.606951
924 -8.708622 -0.415222 0.461092
383 -5.449782 -1.091604 8.299828
847 -5.594762 -0.745215 -0.365541
669 -5.180309 -0.093194 0.239895
526 -4.817023 -1.783063 9.109608
478 -5.656414 -0.722000 -1.413199
995 -8.752993 -0.977802 8.822456
454 -2.965348 -1.529622 1.661784
404 -6.533227 -1.525519 -1.497726
402 -6.276319 -0.467101 -0.673592
395 -4.922750 -0.147963 9.186021
841 1.169475 -1.378062 0.392428
300 -4.723200 -1.587560 9.705424
226 -4.895063 -1.771592 -0.202165
730 -5.050906 -0.886162 8.364848
189 -6.302258 -0.339379 -1.812764
617 -0.203613 -1.746730 0.228781
76 -6.573775 -1.570095 -0.885488
953 -6.652024 -1.800882 -0.614697
877 -5.981910 -1.266278 0.516040
333 -9.937201 -1.092339 -0.570277
874 -3.511513 -0.599722 9.190956
520 -6.009314 -1.371918 -0.058884
304 -3.697224 -1.788792 2.233748
229 -6.390893 -0.970546 0.247835
644 -1.185757 -1.485469 -0.560200
103 -6.004364 -0.436421 0.972155
39 -4.780684 -1.730501 0.747090
561 -6.389098 -0.348930 -2.172862
20 -3.695239 -0.612057 8.218389
972 -5.741518 -1.482295 1.373081
678 -6.545092 -1.597150 1.850945
505 -6.799741 -1.006501 1.213141
